Processing Time:28.9998054504 msec.
Total injuries and fatalities associated with each motor collision record:
Wall time: 29 ms
+----------+--------------------+-----------------+
|UNIQUE_KEY|All_Fatalities_Count|All_Injured_Count|
|3438346   |0                   |0                |
|3437606   |0                   |2                |
|3439377   |0                   |0                |
|3557876   |0                   |0                |
|3557574   |0                   |0                |
|3557570   |0                   |0                |
|3437695   |0                   |0                |
|3437003   |0                   |0                |
|3437669   |0                   |2                |
|3580648   |0                   |0                |
|3580699   |0                   |0                |
|3579818   |0                   |0                |
|3443905   |0                   |0                |
|3439323   |0                   |0                |
|3282538   |0                   |0                |
|3508986   |0                   |0                |
|3509862   |0                   |0                |
|3508482   |0                   |0                |
|3508429   |0                   |0                |
|3509232   |0                   |0                |
|3508396   |0                   |0                |
|3507258   |0                   |0                |
|3312182   |0                   |2                |
|3312001   |0                   |0                |
|3508785   |0                   |0                |
|3508072   |0                   |0                |
|3508131   |0                   |0                |
|3508177   |0                   |0                |
|3550486   |0                   |0                |
|3532082   |0                   |0                |
|3509933   |0                   |0                |
|3509981   |0                   |0                |
|3510125   |0                   |0                |
|3441065   |0                   |0                |
|3441876   |0                   |0                |
|3442983   |0                   |0                |
|3439207   |0                   |0                |
|3439401   |0                   |0                |
|3438304   |0                   |4                |
|3527920   |0                   |0                |
|3511714   |0                   |0                |
|3512282   |0                   |0                |
|3510799   |0                   |4                |
|3510479   |0                   |0                |
|3548143   |0                   |0                |
|3548948   |0                   |0                |
|3548142   |0                   |0                |
|3526250   |0                   |6                |
|3526216   |0                   |0                |
|3526995   |0                   |0                |
|3510546   |0                   |0                |
|3510516   |0                   |0                |
|3510638   |0                   |0                |
|3511637   |0                   |0                |
|3510454   |0                   |0                |
|3438286   |0                   |0                |
|3580160   |0                   |0                |
|3579201   |0                   |0                |
|3580191   |0                   |0                |
|3579179   |0                   |2                |
|3580209   |0                   |0                |
|3440485   |0                   |0                |
|3440433   |0                   |0                |
|3442022   |0                   |0                |
|3442417   |0                   |0                |
|3441879   |0                   |0                |
|3548146   |0                   |0                |
|3548074   |0                   |0                |
|3550239   |0                   |0                |
|3548694   |0                   |0                |
|3549437   |0                   |0                |
|3527396   |0                   |0                |
|3526551   |0                   |0                |
|3510828   |0                   |0                |
|3510406   |0                   |0                |
|3511715   |0                   |0                |
|3512933   |0                   |0                |
|3436861   |0                   |0                |
|3597899   |0                   |0                |
|3598353   |0                   |0                |
|3597685   |0                   |2                |
|3579069   |0                   |4                |
|3580583   |0                   |3                |
|3579403   |0                   |0                |
|3437975   |0                   |0                |
|3437770   |0                   |2                |
|3436518   |0                   |0                |
|3438683   |0                   |2                |
|3436483   |0                   |0                |
|3438397   |0                   |2                |
|3436845   |0                   |0                |
|3438684   |0                   |0                |
|3510321   |0                   |0                |
|3510310   |0                   |0                |
|3513189   |0                   |0                |
|3512046   |0                   |0                |
|3510801   |0                   |0                |
|3510786   |0                   |0                |
|3510616   |0                   |0                |
|3438359   |0                   |0                |
|3437455   |0                   |0                |
|3437581   |0                   |0                |
|3436912   |0                   |0                |
|3438022   |0                   |0                |
|3438524   |0                   |0                |
|3526750   |0                   |0                |
|3510822   |0                   |3                |
|3510459   |0                   |0                |
|3282427   |0                   |2                |
|3440641   |0                   |0                |
|3441062   |0                   |0                |
|3441779   |0                   |0                |
|3436889   |0                   |0                |
|3440187   |0                   |0                |
|3436657   |0                   |0                |
|3526355   |0                   |0                |
|3510126   |0                   |0                |
|3510598   |0                   |0                |
|3511406   |0                   |0                |
|3509680   |0                   |0                |
|3510902   |0                   |0                |
|3512148   |0                   |0                |
|3437623   |0                   |2                |
|3444268   |0                   |0                |
|3438106   |0                   |0                |
|3437440   |0                   |0                |
|3439519   |0                   |2                |
|3436934   |0                   |0                |
|3528976   |0                   |0                |
|3526364   |0                   |2                |
|3526589   |0                   |8                |
|3525984   |0                   |0                |
|3526880   |0                   |0                |
|3526278   |0                   |0                |
|3508912   |0                   |0                |
|3438525   |0                   |0                |
|3438175   |0                   |0                |
|3438856   |0                   |0                |
|3438612   |0                   |0                |
|3436898   |0                   |0                |
|3436937   |0                   |0                |
|3533252   |0                   |2                |
|3439778   |0                   |0                |
|3439702   |0                   |0                |
|3440994   |0                   |0                |
|3440174   |0                   |0                |
|3439853   |0                   |2                |
|3439436   |0                   |2                |
|3439850   |0                   |2                |
|3439677   |0                   |0                |
|3440028   |0                   |2                |
|3439192   |0                   |0                |
|3440374   |0                   |0                |
|3548225   |0                   |0                |
|3548986   |0                   |0                |
|3548215   |0                   |0                |
|3548118   |0                   |0                |
|3548120   |0                   |0                |
|3552183   |0                   |2                |
|3549151   |0                   |2                |
|3548167   |0                   |2                |
|3548138   |0                   |0                |
|3547171   |0                   |0                |
|3548004   |0                   |0                |
|3281553   |0                   |0                |
|3282280   |0                   |0                |
|3440656   |0                   |0                |
|3441706   |0                   |0                |
|3441118   |0                   |0                |
|3439774   |0                   |0                |
|3440299   |0                   |0                |
|3439693   |0                   |0                |
|3442088   |0                   |0                |
|3440192   |0                   |0                |
|3440057   |0                   |0                |
|3442415   |0                   |0                |
|3439892   |0                   |0                |
|3439836   |0                   |0                |
|3439730   |0                   |0                |
|3557012   |0                   |0                |
|3557022   |0                   |0                |
|3558822   |0                   |2                |
|3557212   |0                   |0                |
|3547850   |0                   |0                |
|3551701   |0                   |0                |
|3547521   |0                   |0                |
|3551574   |0                   |0                |
|3549458   |0                   |0                |
|3552947   |0                   |0                |
|3283388   |0                   |0                |
|3508141   |0                   |0                |
|3440030   |0                   |0                |
|3443929   |0                   |0                |
|3439361   |0                   |0                |
|3440270   |0                   |0                |
|3440359   |0                   |0                |
|3439831   |0                   |2                |
|3440100   |0                   |0                |
|3439696   |0                   |0                |
|3440215   |0                   |2                |
|3440025   |0                   |0                |
|3439678   |0                   |0                |
|3557008   |0                   |0                |
|3547580   |0                   |3                |
|3547898   |0                   |0                |
|3547941   |0                   |0                |
|3548405   |0                   |0                |
|3547913   |0                   |0                |
|3547912   |0                   |0                |
|3556557   |0                   |0                |
|3547852   |0                   |0                |
|3547582   |0                   |0                |
|3548246   |0                   |0                |
|3526063   |0                   |2                |
|3282259   |0                   |2                |
|3281775   |0                   |0                |
|3440117   |0                   |0                |
|3439679   |0                   |0                |
|3440255   |0                   |0                |
|3440338   |0                   |0                |
|3437805   |0                   |0                |
|3442411   |0                   |0                |
|3442554   |0                   |0                |
|3439821   |0                   |0                |
|3439729   |0                   |0                |
|3440922   |0                   |0                |
|3527572   |0                   |0                |
|3529571   |0                   |0                |
|3528024   |0                   |0                |
|3510832   |0                   |3                |
|3510287   |0                   |0                |
|3510296   |0                   |0                |
|3508315   |0                   |3                |
|3436650   |0                   |0                |
|3438205   |0                   |0                |
|3436603   |0                   |0                |
|3438191   |0                   |0                |
|3441635   |0                   |0                |
|3311120   |0                   |0                |
|3437772   |0                   |0                |
|3440942   |0                   |0                |
|3439722   |0                   |0                |
|3440223   |0                   |0                |
|3447669   |0                   |2                |
|3453716   |0                   |0                |
|3444022   |0                   |0                |
|3440769   |0                   |0                |
|3440356   |0                   |0                |
|3440373   |0                   |0                |
|3441308   |0                   |0                |
|3438082   |0                   |0                |
|3439359   |0                   |0                |
|3438176   |0                   |0                |
|3440800   |0                   |2                |
|3444111   |0                   |2                |
|3439827   |0                   |0                |
|3440357   |0                   |0                |
|3440611   |0                   |0                |
|3442178   |0                   |0                |
|3439434   |0                   |0                |
|3450441   |0                   |6                |
|3440090   |0                   |0                |
|3440358   |0                   |0                |
|3438423   |0                   |0                |
|3439064   |0                   |0                |
|3556269   |0                   |0                |
|3548975   |0                   |0                |
|3548257   |0                   |0                |
